Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
EU;;MSC ITN;WDAqua ;Answering Questions using Web Data;https://wdaqua.eu;01.01.2015;31.12.2018;C. DSDL;20150001;Accepted;Ja
EU;;;SlideWiki;Large-scale pilots for collaborative OpenCourseWare authoring, multiplatform delivery and Learning Analytics;https://slidewiki.eu;01.01.2016;31.12.2018;C. DSDL;20160002;Accepted;
BMBF;03O1441;Strategien und Konzepte im Bereich des Wissens- und Technologietransfers;;Sektorale Verwertung - TIB Transfer II;;01.03.2015;31.08.2018;C. E;53000001;Accepted;
DFG;LO 1166/2-1;LIS;NOA;Automatische Sammlung, Erschließung und Bereitstellung von Open-Access-Abbildungen;noa.wp.hs-hannover.de/;09.05.2016;31.03.2020;C. OSL;51000050;Accepted;ja
EU;;;IASIS;Integration and analysis of heterogeneous big data for precision medicine and suggested treatments for different types of patients;;01.04.2017;01.03.2020;C. SDM;20170003;Accepted;Ja
DFG;RO 2273/17-2;LIS-Förderprogramm / Ausschreibung: „Informationsinfrastrukturen für Forschungsdaten“;LaZAR;Webplattform für die Bearbeitung, Publikation und Langzeitarchivierung der regionalwissenschaftlichen Forschungsdaten (Folgeprojekt);;01.04.2017;31.03.2019;A. BuL;51000052;Accepted;
BMBF;03IO1635;;TextTransfer;"TextTransfer - Korpusgestützte Erkennung von Verwertungsmustern in
wissenschaftlichen Texten. Teilprojekt: Datenmanagement, Dokumentenauswahl sowie
Workflow zur Bereitstellung eines XMLbasierten Korpus";;01.12.2016;31.12.2019;C. OSL;53000004;Accepted;ja
BMWi;;;FaAM;Fully-automated Alpha Matting;;01.03.2017;31.10.2018;C. VA;20170008;Accepted;
BMBF;01UG1775X;EHeritage;DELFT;Digitalisierung des Ethnologischen Filmbestandes;;01.10.2017;30.09.2019;A. BuL;53000006;Accepted;
BMBF;01UG1775X;;DELFT;Digitalisierung des Ethnologischen Filmbestandes;;01.10.2017;30.09.2019;A. BuL;53000006;Accepted;Ja
Leibniz-Gemeinschaft;Strategiefonds-2017-Publikationsfonds;;OA Pub.fonds;Open-Access-Publikationsfonds für die Leibniz-Gemeinschaft 2017/2018;;01.01.2017;31.12.2018;B. PD;53000003;Accepted;
DFG;SE 1827/3-1;LIS / Überregionale Lizenzierung;Allianz-Lizenz Scientific.Net;Erwerb von Allianz-Lizenzen an der TIB: Scientific.Net: Materials Science and Engineering/Trans Tech Publications ;;01.01.2017;31.12.2019;A. Ref. L;51000051;Accepted;
MWK;14-55 026;;Sammlung Haupt (Garten);Erschließung gartenkünstlerischer Druckgraphiken Sammlung Haupt 2017;;01.01.2017;31.12.2017;A. W-Dienst;56000008;Accepted;Ja
DFG;EW 134/4-1;LIS E-Research;VIVA ;"VideoSearch4Archives (DRA); Entwicklung eines Softwaresystems zur Szenen- und Personenerkennung für die automatsiche Erschließung von wissenschfatlich genutzten Videoarchiven";;01.01.2018;31.12.2020;C. VA;51000054;Accepted;
Leibniz Forschungsverbund Science 2.0: Interne Ausschreibung für Projekte und Veranstaltungen;SAS-2016-ZBW-LFV;;GenR;GenerationR - Aufbau einer Science 2.0 Plattform im Rahmen des Leibniz-Forschungsverbundes Science 2.0;https://genr.eu/;01.10.2017;01.09.2019;C. OSL;54000001;Accepted;ja
Leibniz Forschungsverbund Science 2.0: Interne Ausschreibung für Projekte und Veranstaltungen;SAS-2016-ZBW-LFV;;GenR;GenerationR - Aufbau einer Science 2.0 Plattform im Rahmen des Leibniz-Forschungsverbundes Science 2.0;https://genr.eu/;01.04.2020;30.06.2021;C. OSL;54000006;Accepted;ja
DFG;EW 134/5-1;;ARAby;"Aby gets digital: ARAby -An adaptive Retrieval- and Analysistool for
the support of image-oriented scientific research";;01.01.2018;15.06.2018;C. VA;51000053;Accepted;
EU;;Big Data PPP;BOOST4.0;Big Data Value Spaces for COmpetitiveness of European COnnected Smart FacTories 4.0;;01.01.2018;01.12.2020;C. DSDL;20180005;Accepted;Ja
EU;;Big Data PPP;BigMedilytics;Big Data for Medical Analytics;;01.01.2018;31.08.2021;C. SDM;20180004;Accepted;Ja
DFG;SE 1827/9-1;LIS / Überregionale Lizenzierung;Allianz-Lizenz V SPIE;Erwerb von Allianz-Lizenzen an der TIB - SPIE Digital Library (Fortsetzung);;01.01.2018;31.12.2020;A. Ref. L;51000057;Accepted;
DFG;SE 1827/8-1;LIS / Überregionale Lizenzierung;Allianz-Lizenz IV DETAIL;Erwerb von Allianz-Lizenzen an der TIB - DETAIL inspiration;;01.01.2018;31.12.2020;A. Ref. L;51000056;Accepted;
DFG;SE 1827/10-1;Fachinformationsdienste für die Wissenschaft;FID MOVE;Fachinformationsdienst Mobilitäts- und Verkehrsforschung;;01.04.2018;31.10.2021;A. W-Dienst;51000055;Accepted;
DFG;SE 1827/10-1;Fachinformationsdienste für die Wissenschaft;FID MOVE;Fachinformationsdienst Mobilitäts- und Verkehrsforschung;;01.04.2018;31.10.2021;C. NTM;51000055;Accepted;
Leibniz-Gemeinschaft;K68/2017;Leibniz Wettbewerb 2018;TIB-3-SALIENT;Search as Learning: Investigating, Enhancing and Predicting Learning during Multimodal Web Search;;01.05.2018;30.04.2021;C. VA;54000002;Accepted;
BMBF;16OA053;;CHOAT-HEP;"Chancen und Herausforderungen der nationalen Umsetzung
eines internationalen Open Access Transformationsprojektes
am Beispiel der Hochenergiephysik";;01.01.2018;31.12.2019;A. Ref. L;53000008;Accepted;
BMBF;;;InclusiveOCW;Inklusive Kollaborative Erstellung und Nutzung von OpenCourseWare in der Berufsförderung von Menschen mit Seheinschränkung ;;01.12.2017;30.11.2020;C. DSDL;20170007;Accepted;
BMBF;01PE17004E;;InclusiveOCW;Reengineering and Public Sector Transformation;;01.12.2017;30.11.2020;C. VA;53000007;Accepted;
MWK;14-55 026-2018;;Sammlung Haupt;Restaurierung und Konservierung des Buchbestandes der Sammlung Albrecht Haupt ;;01.01.2018;31.12.2018;A. BuL;56000011;Accepted;
BMBF;16FDM035;Ideenwettbewerb Digitaler Wandel;FDS;FAIR Data and Software Workshop;https://tibhannover.github.io/2018-07-09-FAIR-Data-and-Software/;01.01.2018;31.12.2018;C. NTM;59000024;Accepted;
EU;INEA/CEF/ICT/A2017/1564684;CEF-TC-2017;EUPS;Europeana Media Unified Playout Service;;01.09.2018;29.02.2020;C. NTM;57000002;Accepted;
DFG;;RSF 2017;MEDUSA;Multimodally Enhanced Data Understanding for Search and Analytics;;;;C. VA;;Rejected;
DFG;;RSF 2017;MEDUSA;Multimodally Enhanced Data Understanding for Search and Analytics;;;;C. DSDL;;Rejected;
BMBF;01PU17019;;ROSI;Referenzimplementierung für offene szientometrische Informationen;https://labs.tib.eu/info/projekt/rosi-registry-of-open-scientometric-data-sources/;01.10.2018;30.09.2020;C. OSL;53000009;Accepted;ja
EU;;H2020 MSCA-ITN-2018 Innovative Training Networks;LATITUDE;Leadership development in ArTificial Intelligence To Understand and Drive 21st century;;;;C. DSDL;;Rejected;
EU;;H2020 MSCA-ITN-2018 Innovative Training Networks;KOALA;Education;;;;C. SDM;;Rejected;
EU;812997;H2020_MSCA-ITN-2018;Cleopatra;Cross-lingual Event-centric Open Analytics Research Academy;;01.01.2019;30.06.2023;C. VA;57000003;Accepted;
EU;;H2020 LC-EEB-02-2018;CitizenBIM;Building Information Modelling Adapted to Efficient Renovation (RIA);;;;C. OSL;;Rejected;
EU;;Europeana #edTech Challenge 2018;BeatTheBot!;Re-imagine education with culture and technology;;;;C. NTM;;Rejected;
EU;819536;ERC-2018-COG;ScienceGRAPH;"Foundations for Knowledge Graph based
Representation, Augmentation and Exploration of Scholarly Communication";;01.05.2019;30.04.2024;C. DSDL;57000007;Accepted;
EU;;H2020 DT-TRANSFORMATIONS-12-2018-2020 (IA);Enlight;Curation of digital assets and advanced digitisation;;;;C. SDM;;Rejected;
EU;822404;H2020_DT-TRANSFORMATIONS-02-2018-2020;QualiChain;Decentralised Qualifications' Verification and Management for Learner Empowerment, Education;;01.01.2019;31.12.2021;C. SDM;57000005;Accepted;Ja
EU;2018-1-DE02-KA202-005101;Erasmus+ KA2 2018;NursingAI;Redefining Nursing Skills for AI and robotization in health care;;01.09.2018;28.02.2021;C. DSDL;57000004;Accepted;
EU;;ERASMUS+ 2018 - AC/A05/2017 ;ALDS;KA2: Strategic partnerships in the field of education and training;;;;C. DSDL;;Rejected;
EU;824068;H2020_INFRAEOSC-04-2018;ENVRI-FAIR;ENVironmental Research Infrastructures building Fair services Accessible for society, Innovation and Research;;01.01.2019;30.06.2023;C. DSDL;57000006;Accepted;
EU;;H2020 FETOPEN-01-2018-2019-2020;ORKG;Open Research Knowledge Graph;;;;C. DSDL;;Rejected;
DFG;AU 340/14-1;Konferenz;DILS;International Conference on Data Integration in the Life Sciences (DILS);;20.11.2018;21.11.2018;C. DSDL;51000059;Accepted;Ja
EU;;H2020 SwafS-04-2018 (RIA);re.Data;Encouraging the re-use of research data generated by publically funded research projects;;;;C. NTM;;Rejected;
EU;;H2020 SwafS-15-2018-2019 (RIA);DS4C;Exploring and supporting citizen science;;;;C. OSL;;Rejected;
EU;;H2020 ICT-12-2018-2020 (RIA);XeGA;Big data technologies and extreme-scale analytics;;;;C. SDM;;Rejected;
EU;;H2020 ICT-24-2018-2019 (RIA);EBA;Next Generation Internet - An Open Internet Initiative;;;;C. OSL;;Rejected;
EU;;H2020 SC1-BHC-05-2018 (RIA);EdgePMed;"International flagship collaboration with Canada for human data storage,
integration and sharing to enable personalised medicine approaches";;;;C. SDM;;Rejected;
Leibniz-Gemeinschaft;;Kooperative Exzellenz;ARBOR;Automatic Relation extraction based on Bibliographic distributions for authORity vocabularies;;;;C. DSDL;;Rejected;
EU;;ERASMUS+ 2018 - AC/A05/2017 ;SciLink;KA2: Strategic partnerships in the field of education and training;;;;C. DSDL;;Rejected;
EU;;H2020 SC1-DTH-07-2018 (RIA);SHIELDS;Exploiting the full potential of in-silico medicine research for personalised diagnosticsand therapies in cloud-based environments;;;;C. SDM;;Rejected;
Leibniz-Wettbewerb 2019;;Leibniz Transfer;LeiCord;Leibniz Conference Recording Service;;;;C. NTM;;Rejected;
Leibniz-Wettbewerb 2020;;Leibniz Professorinnenprogramm;LiDIS;Linked Data in Information Science;;;;C. OSL;;Rejected;
DFG;SE 1827/13-1;LIS / Überregionale Lizenzierung;Allianz-Lizenz Biochem.;Erwerb von Allianz-Lizenzen an der TIB - Biochemical Society Journals;;27.02.2019;26.02.2022;A. EuK;51000060;Accepted;
DFG;415796915;LIS E-Research;iART;Interaktives Analyse- und Retrieval-Tool zur Unterstützung von bildorientierten Forschungsprozessen;;01.01.2019;31.12.2021;C. VA;51000058;Accepted;
Leibniz-WissenschaftsCampi 2019;;;;Digitizing Scholarly Communication;;;;C. DSDL;;Rejected;
Leibniz-Gemeinschaft;Strategiefonds-2019-IDS-Publikationsfonds Monographien;Strategiefonds;Strategiefonds;Open-Access-Publikationsfonds für Monographien der Leibniz-Gemeinschaft 2019/2020;;01.01.2019;31.12.2020;B. PD;54000003;Accepted;
MWK;MWK/Uni Göttingen: 6128/2017079 TIB;Förderung der Wissenschaftlichen Bibliotheken im Land Niedersachsen im Haushaltsjahr 2018;;Niedersachsenkonsortium zur Sicherung der Informationsversorgung;;01.08.2018;31.07.2019;A. Ref. L;59000025;Accepted;
VW Stiftung;;Experiment! - In search of bold research ideas;Pythia;;;;;C. SDM;;Rejected;
VW Stiftung;;Artificial Intelligence and the Society of the Future;SmartSkills;AI Driven, Dynamic Skill and Task Reallocation for Optimal Human-Machine Collaboration in Industry 4.0 ;;;;C. SDM;;Rejected;
EU;;EC DG EAC Call for European Education and Training Expert Panel;;;;;;C. DSDL;;Rejected;
VW Stiftung;;Experiment!;SemResData;Semantic research data: A science FAIRytale;;;;C. DSDL;;Rejected;
DFG;EW 134/9-1;Normalverfahren;Mono3D;Weakly Supervised Learning for Depth Estimation in Monocular Images;;01.10.2019;30.09.2021;C. VA;20190009;Accepted;
EU;;H2020 SU-DRS02-2018-2019-2020;DETECT;Technologies for first responders;;;;C. SDM;;Rejected;
Leibniz Forschungsverbund Science 2.0: Interne Ausschreibung für Projekte und Veranstaltungen;;Interne Ausschreibung für Projekte und Veranstaltungen;;Kompetenzmonitor OpenBiblioJobs;;;;C. OSL;;Rejected;
Leibniz Forschungsverbund Science 2.0: Interne Ausschreibung für Projekte und Veranstaltungen;;Interne Ausschreibung für Projekte und Veranstaltungen;;Arbeitspraktiken unter Nachwuchswissenschaftlern in der Bildungsforschung – eine Untersuchung von Einflussfaktoren in Forschungsgemeinschaften;;01.12.2018;31.05.2020;C. OSL;54000005;Accepted;
BMBF;;Kurationskriterien und Qualitätsstandards von Forschungsdaten;KuWork;Evaluierung, Optimierung und Modellierung von Kuratierungsworkflows für nachnutzbare Forschungsdaten;;;;A. W-Dienst;;Rejected;
BMBF;;Kurationskriterien und Qualitätsstandards von Forschungsdaten;ChemCure;Entwicklung und Anwendung von Methoden zur systematischen inhaltlichen und formalen Kuration chemischer Daten;;;;C. DSDL;;Rejected;
